Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 368 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         368                             
     2 stock_initial[1]
                                   6             6             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   6             6             = 
     6 stock_initial[5]
                                   4             4             = 
     7 stock_initial[6]
                                   5             5             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   5             5             = 
    11 stock_initial[10]
                                   5             5             = 
    12 stock_initial[11]
                                   5             5             = 
    13 stock_initial[12]
                                   7             7             = 
    14 stock[1,1]                 -4            -4             = 
    15 stock[1,2]                 -3            -3             = 
    16 stock[1,3]                 -4            -4             = 
    17 stock[1,4]                 -1            -1             = 
    18 stock[1,5]                 -4            -4             = 
    19 stock[1,6]                  0            -0             = 
    20 stock[1,7]                 -2            -2             = 
    21 stock[1,8]                 -2            -2             = 
    22 stock[1,9]                 -6            -6             = 
    23 stock[1,10]                -5            -5             = 
    24 stock[1,11]                -3            -3             = 
    25 stock[1,12]                -2            -2             = 
    26 stock[2,1]                 -5            -5             = 
    27 stock[2,2]                 -1            -1             = 
    28 stock[2,3]                 -2            -2             = 
    29 stock[2,4]                 -6            -6             = 
    30 stock[2,5]                 -1            -1             = 
    31 stock[2,6]                 -2            -2             = 
    32 stock[2,7]                 -2            -2             = 
    33 stock[2,8]                 -1            -1             = 
    34 stock[2,9]                 -4            -4             = 
    35 stock[2,10]                -1            -1             = 
    36 stock[2,11]                -2            -2             = 
    37 stock[2,12]                -1            -1             = 
    38 stock[3,1]                 -2            -2             = 
    39 stock[3,2]                 -3            -3             = 
    40 stock[3,3]                 -2            -2             = 
    41 stock[3,4]                 -1            -1             = 
    42 stock[3,5]                 -2            -2             = 
    43 stock[3,6]                 -2            -2             = 
    44 stock[3,7]                 -2            -2             = 
    45 stock[3,8]                 -2            -2             = 
    46 stock[3,9]                 -1            -1             = 
    47 stock[3,10]                -2            -2             = 
    48 stock[3,11]                 0            -0             = 
    49 stock[3,12]                -3            -3             = 
    50 stock[4,1]                 -5            -5             = 
    51 stock[4,2]                 -5            -5             = 
    52 stock[4,3]                 -4            -4             = 
    53 stock[4,4]                 -8            -8             = 
    54 stock[4,5]                 -6            -6             = 
    55 stock[4,6]                 -3            -3             = 
    56 stock[4,7]                 -2            -2             = 
    57 stock[4,8]                 -1            -1             = 
    58 stock[4,9]                 -8            -8             = 
    59 stock[4,10]                -3            -3             = 
    60 stock[4,11]                -2            -2             = 
    61 stock[4,12]                -4            -4             = 
    62 stock[5,1]                 -8            -8             = 
    63 stock[5,2]                 -8            -8             = 
    64 stock[5,3]                 -6            -6             = 
    65 stock[5,4]                 -1            -1             = 
